story_id,user_screen_name,isFake
1139927656403746821,BreitbartNews,true
1139911776659787776,politicususa,true
1139914664685580288,politicususa,true
1139906468315095040,politicususa,true
1139980218293215233,21WIRE,true
1139925597583532032,CRG_CRM,true
1139865460953026560,BreitbartNews,true
1140240721619955714,politicususa,true
1140061456060297217,ClickHole,true
1139935778182717440,BreitbartNews,true
1139948716608167937,politicususa,true
1140306312942800898,politicususa,true
1140078466764853248,BreitbartNews,true
1139923398132424705,CRG_CRM,true
1140242652480376832,ClickHole,true
1139880274962059264,ClickHole,true
1140392133825835008,TheOnion,true
1140001077691133959,ClickHole,true
1140170052374859776,21WIRE,true
1140171260477018112,21WIRE,true
1139985715570384897,politicususa,true
1139887625609895936,BreitbartNews,true
1140304883242942465,Phillies,false
1139893971461857280,chlorine0328,false
1140351859464404992,markstouch,false
1139836584998637569,elilieb,false
1139885238912348161,heyitsmekyleee_,false
1140199564273573889,limlouisa,false
1139977232590544897,JustineSkye,false
1140037496367009792,SSJreef,false
1140331403831402496,that1mum,false
1139876779001298946,tsuyukito,false
1140089744799358978,choi_bts2,false
1140035697019183105,getnickwright,false
1140210192631701504,hxllywilliams,false
1140410386753003520,mshelton,false
1140385690695245824,bankrollvic_,false
1140486425286082560,prdsefg,false
1140553848743841798,MINToYou_1013,false
1140550497486561280,outro_suga,false
1139969808680857601,RaquelWillis_,false
1139971037620310016,7eelin,false
1140223773804658688,beaadmires1D,false
1139849809634791424,roopnayandarak,false
